,asset_id,interval,timestamp,open,high,low,close,volume
0,AMZN,D,2019-01-31,1692.85,1736.411,1679.0821,1718.78,4381971
1,AMZN,D,2019-02-28,1635.25,1651.77,1633.83,1639.7432,1358043
2,AMZN,D,2019-04-24,1924.45,1928.4,1899.48,1900.75,45474
3,AMZN,D,2019-04-25,1919.01,1921.8,1900.78,1901.51,60978
4,AMZN,D,2019-04-26,1927.84,1950.98,1899.39,1950.98,188897
5,AMZN,D,2019-04-29,1950.05,1956.29,1935.29,1939.0,66469
6,AMZN,D,2019-04-30,1930.1,1935.71,1906.95,1925.56,818534
7,AMZN,D,2019-05-01,1933.97,1942.86,1911.0,1911.065,57648
8,AMZN,D,2019-05-02,1913.91,1920.75,1882.95,1899.095,62475
9,AMZN,D,2019-05-03,1949.4,1964.37,1936.4,1962.49,81514
10,AMZN,D,2019-05-06,1916.01,1958.55,1910.58,1950.64,72001
11,AMZN,D,2019-05-07,1938.89,1948.67,1903.68,1921.0,104785
12,AMZN,D,2019-05-08,1918.0,1935.37,1910.46,1917.58,61279
13,AMZN,D,2019-05-09,1900.1,1909.34,1876.68,1900.03,83650
14,AMZN,D,2019-05-10,1899.94,1903.43,1856.0,1888.76,118007
15,AMZN,D,2019-05-13,1836.52,1846.09,1818.35,1823.06,75541
16,AMZN,D,2019-05-14,1839.26,1852.44,1816.1,1840.05,74041
17,AMZN,D,2019-05-15,1827.56,1874.09,1823.89,1870.21,87978
18,AMZN,D,2019-05-16,1886.05,1917.51,1883.74,1907.42,102449
19,AMZN,D,2019-05-17,1891.71,1910.28,1867.52,1867.99,94005
20,AMZN,D,2019-05-20,1852.47,1866.27,1836.32,1858.49,48421
21,AMZN,D,2019-05-21,1873.0,1878.5,1847.01,1857.2,77326
22,AMZN,D,2019-05-22,1855.01,1871.13,1852.58,1859.3,62501
23,AMZN,D,2019-05-23,1836.5,1843.89,1804.28,1815.31,83541
24,AMZN,D,2019-05-24,1835.02,1841.5,1818.0,1823.22,86061
25,AMZN,D,2019-05-28,1832.73,1849.21,1831.0,1835.84,55930
26,AMZN,D,2019-05-29,1822.0,1828.75,1808.0,1820.5,72094
27,AMZN,D,2019-05-30,1825.99,1829.02,1809.0,1815.52,63765
28,AMZN,D,2019-05-31,1787.4,1795.49,1774.02,1775.02,99039
29,AMZN,D,2019-06-03,1759.22,1765.55,1672.17,1693.14,158795
30,AMZN,D,2019-06-04,1699.24,1730.245,1681.55,1730.245,92253
31,AMZN,D,2019-06-05,1750.0,1750.0,1715.43,1738.27,83222
32,AMZN,D,2019-06-06,1738.5,1759.92,1727.0,1754.39,79468
33,AMZN,D,2019-06-07,1762.86,1805.97,1760.42,1805.04,132109
34,AMZN,D,2019-06-10,1826.21,1884.8,1819.25,1861.01,128067
35,AMZN,D,2019-06-11,1884.45,1893.69,1858.43,1864.76,77099
36,AMZN,D,2019-06-12,1853.54,1864.32,1845.09,1855.17,45561
37,AMZN,D,2019-06-13,1866.72,1881.89,1862.48,1869.83,54952
38,AMZN,D,2019-06-14,1864.56,1875.53,1859.3,1870.14,85976
39,AMZN,D,2019-06-17,1878.41,1895.0,1876.7,1885.44,61290
40,AMZN,D,2019-06-18,1901.35,1921.39,1900.02,1902.15,96992
41,AMZN,D,2019-06-19,1907.63,1917.89,1893.12,1908.76,64537
42,AMZN,D,2019-06-20,1933.01,1935.0,1906.02,1917.95,82426
43,AMZN,D,2019-06-21,1914.83,1925.77,1907.74,1910.08,95457
44,AMZN,D,2019-06-24,1911.0,1915.49,1901.91,1913.795,62258
45,AMZN,D,2019-06-25,1912.0,1915.91,1873.16,1880.19,61948
46,AMZN,D,2019-06-26,1893.15,1903.79,1888.47,1898.65,51020
47,AMZN,D,2019-06-27,1902.0,1911.125,1899.01,1903.67,36724
48,AMZN,D,2019-06-28,1909.5,1911.55,1884.03,1889.9,74792
49,AMZN,D,2019-07-01,1923.0,1929.75,1915.7,1921.5,65682
50,AMZN,D,2019-07-02,1919.31,1934.56,1907.0,1934.56,76325
51,AMZN,D,2019-07-03,1934.89,1941.44,1930.78,1939.0,46286
52,AMZN,D,2019-07-05,1927.94,1945.82,1925.55,1943.26,113568
53,AMZN,D,2019-07-08,1934.79,1956.0,1928.86,1952.42,67150
54,AMZN,D,2019-07-09,1947.475,1990.0,1945.0,1987.35,163390
55,AMZN,D,2019-07-10,1997.045,2024.78,1997.045,2017.08,182399
56,AMZN,D,2019-07-11,2025.0,2035.79,1997.39,2002.09,144602
57,AMZN,D,2019-07-12,2007.51,2016.74,2003.96,2010.27,86088
58,AMZN,D,2019-07-15,2022.89,2022.89,2002.51,2020.03,87471
59,AMZN,D,2019-07-16,2013.6,2025.89,2001.83,2009.12,52595
60,AMZN,D,2019-07-17,2008.44,2011.91,1992.18,1992.18,50776
61,AMZN,D,2019-07-18,1980.01,1985.47,1952.01,1977.35,111847
62,AMZN,D,2019-07-19,1991.21,1995.65,1962.26,1965.0,124126
63,AMZN,D,2019-07-22,1971.57,1987.35,1959.1,1985.93,58736
64,AMZN,D,2019-07-23,1995.99,1996.8,1974.03,1994.48,61255
65,AMZN,D,2019-07-24,1965.87,2001.0,1965.87,2000.94,43366
66,AMZN,D,2019-07-25,2000.0,2000.81,1973.88,1974.72,51806
67,AMZN,D,2019-07-26,1940.6,1950.5,1924.51,1941.87,153401
68,AMZN,D,2019-07-29,1931.27,1931.27,1890.86,1912.43,128917
69,AMZN,D,2019-07-30,1891.115,1908.23,1883.55,1899.22,99689
70,AMZN,D,2019-07-31,1892.13,1897.75,1850.0,1867.02,99928
71,AMZN,D,2019-08-01,1873.97,1897.81,1844.34,1855.48,135767
72,AMZN,D,2019-08-02,1843.0,1845.36,1808.29,1824.19,168051
73,AMZN,D,2019-08-05,1768.73,1788.07,1750.0,1765.82,108394
74,AMZN,D,2019-08-06,1791.0,1793.29,1754.25,1787.6,97665
75,AMZN,D,2019-08-07,1771.16,1798.78,1757.01,1794.63,103397
76,AMZN,D,2019-08-08,1807.08,1833.29,1800.0,1833.29,99647
77,AMZN,D,2019-08-09,1826.0,1830.98,1802.22,1808.13,94834
78,AMZN,D,2019-08-12,1793.77,1800.63,1777.0,1785.94,66416
79,AMZN,D,2019-08-13,1781.03,1831.55,1780.21,1824.66,107359
80,AMZN,D,2019-08-14,1794.74,1795.47,1757.3,1763.03,115492
81,AMZN,D,2019-08-15,1779.83,1787.56,1762.2,1776.46,84318
82,AMZN,D,2019-08-16,1792.735,1802.5,1784.73,1792.21,108538
83,AMZN,D,2019-08-19,1818.08,1826.0,1813.08,1816.74,60987
84,AMZN,D,2019-08-20,1815.04,1816.69,1801.41,1801.59,44476
85,AMZN,D,2019-08-21,1818.57,1829.26,1815.74,1823.19,53920
86,AMZN,D,2019-08-22,1828.84,1829.01,1801.67,1805.41,104323
87,AMZN,D,2019-08-23,1793.03,1804.44,1745.5,1750.2,217741
88,AMZN,D,2019-08-26,1767.5,1769.58,1744.0,1769.58,90047
89,AMZN,D,2019-08-27,1775.71,1777.58,1747.29,1761.71,76720
90,AMZN,D,2019-08-28,1756.51,1767.44,1745.22,1763.2,69304
91,AMZN,D,2019-08-29,1781.91,1798.48,1778.4,1784.79,131278
92,AMZN,D,2019-08-30,1798.11,1798.11,1764.69,1774.73,157362
93,AMZN,D,2019-09-03,1770.06,1800.75,1769.7,1790.34,106179
94,AMZN,D,2019-09-04,1805.0,1807.42,1796.29,1801.0,68786
95,AMZN,D,2019-09-05,1821.0,1841.89,1816.08,1841.0,158267
96,AMZN,D,2019-09-06,1840.0,1840.32,1827.37,1833.58,123638
97,AMZN,D,2019-09-09,1841.5,1850.0,1825.0,1831.34,117507
98,AMZN,D,2019-09-10,1822.75,1824.87,1805.6,1821.82,102945
99,AMZN,D,2019-09-11,1812.95,1832.44,1810.0,1822.89,85752
100,AMZN,D,2019-09-12,1837.16,1853.45,1835.3,1843.55,104354
101,AMZN,D,2019-09-13,1841.34,1846.0,1835.28,1838.37,88130
102,AMZN,D,2019-09-16,1823.99,1825.09,1800.4,1808.21,139484
103,AMZN,D,2019-09-17,1807.06,1823.81,1804.28,1822.84,71919
104,AMZN,D,2019-09-18,1818.59,1821.29,1795.88,1817.72,91547
105,AMZN,D,2019-09-19,1820.98,1832.57,1817.9,1821.19,97166
106,AMZN,D,2019-09-20,1822.25,1830.37,1781.04,1793.64,175647
107,AMZN,D,2019-09-23,1776.69,1792.45,1767.95,1785.76,67230
108,AMZN,D,2019-09-24,1789.01,1795.36,1735.91,1742.35,151766
109,AMZN,D,2019-09-25,1747.22,1773.0,1723.49,1768.49,100180
110,AMZN,D,2019-09-26,1762.02,1762.02,1731.71,1738.79,126319
111,AMZN,D,2019-09-27,1748.01,1748.56,1714.01,1725.71,164480
112,AMZN,D,2019-09-30,1721.87,1737.27,1721.34,1736.43,61963
113,AMZN,D,2019-10-01,1746.11,1755.6,1728.5,1735.71,97146
114,AMZN,D,2019-10-02,1728.89,1728.89,1706.0,1713.4,104330
115,AMZN,D,2019-10-03,1711.71,1724.71,1686.33,1724.49,100777
116,AMZN,D,2019-10-04,1726.91,1740.52,1719.6,1740.06,111531
117,AMZN,D,2019-10-07,1731.89,1747.8,1724.55,1736.08,63677
118,AMZN,D,2019-10-08,1720.58,1727.0,1705.35,1705.4,67325
119,AMZN,D,2019-10-09,1719.61,1729.88,1716.03,1721.31,78475
120,AMZN,D,2019-10-10,1724.32,1738.29,1714.28,1719.36,84241
121,AMZN,D,2019-10-11,1743.17,1745.37,1729.87,1729.87,127320
122,AMZN,D,2019-10-14,1731.1,1741.67,1722.33,1736.73,59692
123,AMZN,D,2019-10-15,1741.74,1776.24,1740.63,1767.45,111031
124,AMZN,D,2019-10-16,1773.33,1786.0,1771.91,1778.91,95191
125,AMZN,D,2019-10-17,1795.88,1798.51,1783.0,1788.11,123127
126,AMZN,D,2019-10-18,1790.3,1793.1,1749.9,1757.92,149084
127,AMZN,D,2019-10-21,1766.93,1785.59,1765.83,1785.59,44675
128,AMZN,D,2019-10-22,1788.1,1789.75,1762.04,1765.83,60175
129,AMZN,D,2019-10-23,1762.41,1770.05,1742.75,1761.81,53194
130,AMZN,D,2019-10-24,1770.93,1787.995,1760.78,1781.3,79682
131,AMZN,D,2019-10-25,1697.62,1764.14,1696.41,1760.72,276460
132,AMZN,D,2019-10-28,1752.0,1778.53,1743.23,1777.13,112418
133,AMZN,D,2019-10-29,1774.87,1774.87,1755.81,1763.1,76394
134,AMZN,D,2019-10-30,1760.9,1781.81,1760.18,1780.06,96643
135,AMZN,D,2019-10-31,1784.01,1784.01,1772.24,1776.4,95333
136,AMZN,D,2019-11-01,1789.86,1797.0,1785.21,1791.46,180657
137,AMZN,D,2019-11-04,1802.0,1815.0,1801.44,1804.46,119552
138,AMZN,D,2019-11-05,1810.06,1810.06,1794.35,1801.93,74342
139,AMZN,D,2019-11-06,1800.66,1802.19,1788.58,1795.81,86571
140,AMZN,D,2019-11-07,1803.95,1805.86,1783.74,1787.61,124494
141,AMZN,D,2019-11-08,1789.0,1789.86,1774.57,1785.89,117063
142,AMZN,D,2019-11-11,1779.07,1779.07,1767.32,1771.74,79797
143,AMZN,D,2019-11-12,1773.5,1786.22,1772.2,1778.33,61381
144,AMZN,D,2019-11-13,1773.12,1774.25,1748.0,1753.47,122929
145,AMZN,D,2019-11-14,1751.71,1766.45,1749.89,1754.94,89517
146,AMZN,D,2019-11-15,1760.98,1761.47,1733.0,1738.21,211680
147,AMZN,D,2019-11-18,1738.68,1753.31,1723.98,1752.11,120005
148,AMZN,D,2019-11-19,1756.97,1760.53,1743.24,1753.18,74267
149,AMZN,D,2019-11-20,1749.44,1762.43,1734.56,1745.0,114642
150,AMZN,D,2019-11-21,1743.41,1746.44,1730.5,1734.82,119085
151,AMZN,D,2019-11-22,1739.18,1746.24,1731.01,1746.05,159039
152,AMZN,D,2019-11-25,1753.92,1777.0,1753.92,1774.44,159641
153,AMZN,D,2019-11-26,1780.0,1796.3,1778.98,1796.16,146523
154,AMZN,D,2019-11-27,1801.48,1824.29,1798.11,1818.4,177638
